iter	Passed	Remaining
0	181	181733
1	182	91241
2	183	61042
3	184	45931
4	185	36865
5	186	30821
6	186	26500
7	187	23260
8	188	20752
9	189	18737
10	190	17092
11	190	15717
12	191	14554
13	192	13556
14	193	12691
15	194	11933
16	194	11265
17	195	10671
18	196	10139
19	197	9660
20	197	9227
21	198	8834
22	199	8473
23	200	8144
24	201	7841
25	201	7561
26	202	7307
27	203	7066
28	204	6841
29	205	6631
30	205	6435
31	206	6251
32	207	6078
33	208	5915
34	208	5761
35	209	5616
36	210	5479
37	211	5349
38	212	5225
39	212	5107
40	213	4996
41	214	4890
42	215	4788
43	215	4690
44	216	4599
45	217	4511
46	218	4428
47	219	4347
48	219	4269
49	220	4194
50	221	4121
51	222	4051
52	223	3984
53	223	3920
54	224	3857
55	225	3798
56	226	3740
57	226	3684
58	227	3630
59	228	3577
60	229	3526
61	229	3477
62	230	3431
63	231	3386
64	232	3342
65	233	3299
66	233	3257
67	234	3212
68	235	3173
69	235	3135
70	236	3098
71	237	3061
72	238	3026
73	239	2992
74	239	2958
75	240	2925
76	241	2894
77	242	2862
78	242	2832
79	243	2803
80	244	2774
81	245	2746
82	246	2719
83	246	2692
84	247	2663
85	248	2637
86	248	2610
87	249	2585
88	250	2561
89	251	2538
90	251	2515
91	252	2492
92	253	2470
93	254	2449
94	254	2428
95	255	2407
96	256	2387
97	257	2368
98	258	2349
99	258	2330
100	259	2312
101	260	2292
102	261	2274
103	262	2257
104	262	2240
105	263	2224
106	264	2207
107	265	2191
108	266	2175
109	266	2160
110	267	2144
111	268	2130
112	269	2115
113	270	2101
114	271	2086
115	271	2071
116	272	2057
117	273	2044
118	274	2030
119	275	2017
120	275	2004
121	276	1992
122	277	1976
123	278	1964
124	278	1952
125	279	1940
126	280	1928
127	281	1915
128	281	1903
129	282	1892
130	283	1881
131	284	1870
132	285	1859
133	286	1849
134	287	1839
135	287	1828
136	288	1818
137	289	1807
138	290	1797
139	290	1787
140	291	1777
