iter	Passed	Remaining
0	176	176335
1	177	88667
2	178	59407
3	179	44762
4	180	35945
5	181	30062
6	182	25858
7	183	22703
8	184	20273
9	185	18352
10	187	16895
11	189	15565
12	190	14433
13	190	13450
14	191	12594
15	192	11843
16	193	11181
17	194	10596
18	195	10069
19	195	9594
20	196	9164
21	197	8773
22	198	8415
23	199	8099
24	200	7807
25	201	7544
26	202	7301
27	203	7074
28	204	6862
29	205	6658
30	206	6466
31	207	6285
32	208	6114
33	209	5952
34	210	5799
35	211	5653
36	211	5516
37	212	5385
38	213	5267
39	214	5155
40	215	5046
41	216	4944
42	217	4844
43	218	4747
44	219	4653
45	220	4564
46	220	4478
47	221	4398
48	222	4319
49	223	4243
50	224	4169
51	224	4099
52	225	4031
53	226	3965
54	227	3902
55	227	3841
56	229	3789
57	230	3739
58	231	3688
59	233	3654
60	234	3606
61	235	3559
62	236	3512
63	236	3465
64	237	3420
65	238	3376
66	239	3335
67	240	3293
68	241	3252
69	241	3212
70	242	3176
71	244	3145
72	244	3111
73	248	3104
74	248	3070
75	249	3038
76	250	3006
77	251	2974
78	252	2942
79	253	2911
80	253	2881
81	254	2851
82	255	2819
83	255	2791
84	256	2764
85	257	2737
86	258	2715
87	259	2693
88	261	2672
89	262	2651
90	263	2628
91	263	2605
92	264	2581
93	265	2559
94	266	2537
95	267	2515
96	267	2494
97	268	2473
98	269	2452
99	270	2431
100	270	2412
101	271	2394
102	272	2375
103	273	2359
104	275	2346
105	276	2333
106	277	2318
107	278	2301
108	279	2285
109	280	2269
110	281	2252
111	282	2236
112	282	2220
113	283	2206
114	284	2191
115	285	2175
116	286	2162
117	287	2147
118	288	2135
119	289	2123
120	291	2114
121	291	2100
122	293	2090
123	294	2078
124	295	2065
125	295	2053
126	296	2039
127	297	2026
128	298	2014
129	299	2002
130	300	1990
131	300	1978
132	301	1966
133	302	1955
134	303	1946
135	304	1936
136	305	1927
137	306	1917
138	307	1906
139	308	1895
140	309	1884
141	309	1872
142	310	1862
143	311	1852
144	312	1842
145	313	1832
146	314	1822
147	315	1813
148	315	1804
149	316	1795
150	317	1787
151	319	1781
152	321	1778
153	322	1771
154	323	1763
155	324	1755
156	325	1747
157	326	1738
158	327	1730
159	327	1721
160	328	1711
161	329	1703
162	330	1694
163	330	1687
164	331	1678
165	333	1673
166	333	1665
167	336	1666
168	337	1659
169	338	1654
170	340	1649
171	341	1642
172	342	1635
173	342	1628
174	343	1621
175	344	1614
176	345	1607
177	346	1600
178	348	1597
179	351	1599
180	352	1593
181	354	1594
182	355	1587
183	356	1581
184	357	1575
185	358	1568
186	359	1561
187	359	1554
188	360	1548
189	361	1541
190	362	1536
191	364	1532
192	365	1526
193	365	1520
194	366	1514
195	367	1508
196	368	1502
197	369	1497
198	370	1492
199	371	1486
200	372	1480
201	373	1474
202	374	1468
